ChEMBL_ID,name,SMILES,IC50_nM,IC50_units,pChEMBL,Assay_ID,target_chembl_id,target_name
CHEMBL151358,CHEMBL151358,CC(C)OCc1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)-c1ccccc1C4,55.0,nM,7.26,CHEMBL817492,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL151656,CHEMBL151656,CC(O)c1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,111.0,nM,6.96,CHEMBL817492,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL151713,CHEMBL151713,CC(C)(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,11.0,nM,7.96,CHEMBL817492,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL151835,CHEMBL151835,O=C1NCc2c1c1c(c3c2c2cc(Br)ccc2n3CCCO)Cc2ccccc2-1,104.0,nM,6.98,CHEMBL817492,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL151863,CHEMBL151863,CCCCOC(C)c1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,130.0,nM,6.89,CHEMBL817492,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL151959,CHEMBL151959,CCC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,12.0,nM,7.92,CHEMBL817492,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL153843,CHEMBL153843,O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1,1.24,nM,8.91,CHEMBL817493,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL162,CHEMBL162,CN[C@@H]1CC2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,115.0,nM,6.94,CHEMBL829417,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL167890,CHEMBL167890,COc1cc2c(Nc3c(F)ccc4c3OCO4)ncnc2cc1OCCCN1CCOCC1,8160.0,nM,5.09,CHEMBL820673,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL169186,CHEMBL169186,COc1cc2c(Nc3c(Cl)ccc4c3OCO4)ncnc2cc1OCCCN1CCCCC1,2170.0,nM,5.66,CHEMBL820673,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL169643,CHEMBL169643,COc1cc2c(Nc3c(Cl)ccc4ccoc34)ncnc2cc1OCCCN1CCOCC1,1380.0,nM,5.86,CHEMBL820673,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL169757,CHEMBL169757,Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1,500.0,nM,6.3,CHEMBL700241,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL169797,CHEMBL169797,COc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OC)cc23)c1,1110.0,nM,5.96,CHEMBL820673,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL170137,CHEMBL170137,CNC(=O)N1CCN(Cc2ccc(-c3ccn4c(-c5ccccc5)cnc4c3)cc2)CC1,52.0,nM,7.28,CHEMBL818934,CHEMBL279,Vascular endothelial growth factor receptor 2
